sra:SRR578605	SRP015959-SRR578605
sra:SRR578606	SRP015959-SRR578606
sra:SRR578607	SRP015959-SRR578607
sra:SRR578608	SRP015959-SRR578608
sra:SRR578609	SRP015959-SRR578609
sra:SRR578610	SRP015959-SRR578610
sra:SRR1258347	SRP041343-SRR1258347
sra:SRR1258348	SRP041343-SRR1258348
sra:SRR1258349	SRP041343-SRR1258349
sra:SRR1258350	SRP041343-SRR1258350
sra:SRR1258351	SRP041343-SRR1258351
sra:SRR1258352	SRP041343-SRR1258352
sra:SRR1258353	SRP041343-SRR1258353
sra:SRR1258354	SRP041343-SRR1258354
sra:SRR1258355	SRP041343-SRR1258355
sra:SRR1258356	SRP041343-SRR1258356
sra:SRR1258357	SRP041343-SRR1258357
sra:SRR1258358	SRP041343-SRR1258358
sra:SRR1258359	SRP041343-SRR1258359
sra:SRR1177042	SRP038980-SRR1177042
sra:SRR1177043	SRP038980-SRR1177043
sra:SRR1177044	SRP038980-SRR1177044
sra:SRR1177045	SRP038980-SRR1177045
sra:SRR1177046	SRP038980-SRR1177046
sra:SRR1177047	SRP038980-SRR1177047
sra:SRR1177048	SRP038980-SRR1177048
sra:SRR1177049	SRP038980-SRR1177049
sra:SRR1177050	SRP038980-SRR1177050
sra:SRR1177051	SRP038980-SRR1177051
sra:SRR1177052	SRP038980-SRR1177052
sra:SRR1177053	SRP038980-SRR1177053
sra:SRR1177054	SRP038980-SRR1177054
sra:SRR1177055	SRP038980-SRR1177055
sra:SRR1177056	SRP038980-SRR1177056
sra:SRR1177057	SRP038980-SRR1177057
sra:SRR1177058	SRP038980-SRR1177058
sra:SRR1177059	SRP038980-SRR1177059
sra:SRR1177060	SRP038980-SRR1177060
sra:SRR1177061	SRP038980-SRR1177061
sra:SRR1177062	SRP038980-SRR1177062
sra:SRR1177063	SRP038980-SRR1177063
sra:SRR1177064	SRP038980-SRR1177064
sra:SRR1177065	SRP038980-SRR1177065
sra:SRR1177066	SRP038980-SRR1177066
sra:SRR1177067	SRP038980-SRR1177067
sra:SRR1177068	SRP038980-SRR1177068
sra:SRR1177069	SRP038980-SRR1177069
sra:SRR1177070	SRP038980-SRR1177070
sra:SRR1177071	SRP038980-SRR1177071
sra:SRR1177072	SRP038980-SRR1177072
sra:SRR1177073	SRP038980-SRR1177073
sra:SRR1177074	SRP038980-SRR1177074
sra:SRR1177075	SRP038980-SRR1177075
sra:SRR1177076	SRP038980-SRR1177076
sra:SRR1177077	SRP038980-SRR1177077
sra:SRR3954692	SRP079936-SRR3954692
sra:SRR3954693	SRP079936-SRR3954693
sra:SRR3954694	SRP079936-SRR3954694
sra:SRR3954695	SRP079936-SRR3954695
sra:SRR3954696	SRP079936-SRR3954696
sra:SRR3954697	SRP079936-SRR3954697
sra:SRR3954698	SRP079936-SRR3954698
sra:SRR3954699	SRP079936-SRR3954699
sra:SRR3954700	SRP079936-SRR3954700
sra:ERR525592	ERP005997-ERR525592
sra:ERR525589	ERP005997-ERR525589
sra:ERR525590	ERP005997-ERR525590
sra:ERR525594	ERP005997-ERR525594
sra:ERR525591	ERP005997-ERR525591
sra:ERR525593	ERP005997-ERR525593
sra:SRR1042212	SRP033468-SRR1042212
sra:SRR1945109	SRP033468-SRR1945109
sra:SRR1945259	SRP033468-SRR1945259
sra:SRR1945260	SRP033468-SRR1945260
sra:SRR1945262	SRP033468-SRR1945262
sra:SRR2098171	SRP060340-SRR2098171
sra:SRR2098172	SRP060340-SRR2098172
sra:SRR2098174	SRP060340-SRR2098174
sra:SRR2098175	SRP060340-SRR2098175
sra:SRR2098176	SRP060340-SRR2098176
sra:ERR1121786	ERP013145-ERR1121786
sra:ERR1121787	ERP013145-ERR1121787
sra:ERR1121788	ERP013145-ERR1121788
sra:ERR1121789	ERP013145-ERR1121789
sra:SRR2443105	SRP063829-SRR2443105
sra:SRR2443106	SRP063829-SRR2443106
sra:SRR2443107	SRP063829-SRR2443107
sra:SRR2443108	SRP063829-SRR2443108
sra:SRR2443109	SRP063829-SRR2443109
sra:SRR2443110	SRP063829-SRR2443110
sra:SRR2443111	SRP063829-SRR2443111
sra:SRR2443112	SRP063829-SRR2443112
sra:SRR2443113	SRP063829-SRR2443113
sra:SRR2443114	SRP063829-SRR2443114
sra:SRR2443115	SRP063829-SRR2443115
sra:SRR2443116	SRP063829-SRR2443116
sra:SRR2443117	SRP063829-SRR2443117
sra:SRR2443118	SRP063829-SRR2443118
sra:SRR2443119	SRP063829-SRR2443119
sra:SRR2443120	SRP063829-SRR2443120
sra:SRR2443121	SRP063829-SRR2443121
sra:SRR2443122	SRP063829-SRR2443122
sra:SRR2443123	SRP063829-SRR2443123
sra:SRR2443124	SRP063829-SRR2443124
sra:SRR2443125	SRP063829-SRR2443125
sra:SRR2443126	SRP063829-SRR2443126
sra:SRR2443127	SRP063829-SRR2443127
sra:SRR2443128	SRP063829-SRR2443128
sra:SRR2443129	SRP063829-SRR2443129
sra:SRR2443130	SRP063829-SRR2443130
sra:SRR2443131	SRP063829-SRR2443131
sra:SRR2443132	SRP063829-SRR2443132
sra:SRR2443133	SRP063829-SRR2443133
sra:SRR2443134	SRP063829-SRR2443134
sra:SRR2587092	SRP064621-SRR2587092
sra:SRR2587093	SRP064621-SRR2587093
sra:SRR4413830	SRP091381-SRR4413830
sra:SRR4413831	SRP091381-SRR4413831
sra:SRR4413832	SRP091381-SRR4413832
sra:SRR4413833	SRP091381-SRR4413833
sra:SRR4413834	SRP091381-SRR4413834
sra:SRR4413835	SRP091381-SRR4413835
sra:SRR1783808	SRP053038-SRR1783808
sra:SRR1783809	SRP053038-SRR1783809
sra:SRR1783807	SRP053038-SRR1783807
sra:SRR1783806	SRP053038-SRR1783806
sra:SRR1783798	SRP053038-SRR1783798
sra:SRR1783799	SRP053038-SRR1783799
sra:SRR1783800	SRP053038-SRR1783800
sra:SRR1783801	SRP053038-SRR1783801
sra:SRR1783802	SRP053038-SRR1783802
sra:SRR1783803	SRP053038-SRR1783803
sra:SRR1783804	SRP053038-SRR1783804
sra:SRR1783805	SRP053038-SRR1783805
sra:SRR1783812	SRP053038-SRR1783812
sra:SRR1783813	SRP053038-SRR1783813
sra:SRR1783814	SRP053038-SRR1783814
sra:SRR1783815	SRP053038-SRR1783815
sra:SRR1783816	SRP053038-SRR1783816
sra:SRR1783817	SRP053038-SRR1783817
sra:SRR1783818	SRP053038-SRR1783818
sra:SRR1783819	SRP053038-SRR1783819
sra:SRR1783820	SRP053038-SRR1783820
sra:SRR1783821	SRP053038-SRR1783821
sra:SRR1783810	SRP053038-SRR1783810
sra:SRR1783811	SRP053038-SRR1783811
sra:SRR1783822	SRP053038-SRR1783822
sra:SRR1783823	SRP053038-SRR1783823
sra:SRR1783824	SRP053038-SRR1783824
sra:SRR1783825	SRP053038-SRR1783825
sra:SRR1783826	SRP053038-SRR1783826
sra:SRR1783827	SRP053038-SRR1783827
sra:SRR1783828	SRP053038-SRR1783828
sra:SRR1783829	SRP053038-SRR1783829
sra:SRR1783830	SRP053038-SRR1783830
